F,W,Z,Down,Up
89,27,4,0.18181818181818177,1.0
101,27,4,0.14814814814814814,0.8181818181818182
113,27,4,0.2615384615384615,0.5555555555555556
125,27,4,0.037735849056603765,0.7769230769230769
41,31,4,0.0,0
53,31,4,0.40740740740740744,0.36507936507936506
65,31,4,0.31481481481481477,0.6296296296296297
77,31,4,0.3058823529411765,0.6296296296296297
89,31,4,0.3846153846153846,0.6470588235294118
101,31,4,0.22857142857142854,0.6923076923076923
113,31,4,0.23076923076923073,0.5714285714285714
125,31,4,0.014285714285714235,0.8125
41,35,4,0.0,0
53,35,4,0.09523809523809523,0.5121212121212121
65,35,4,0.2524271844660194,0.6190476190476191
77,35,4,0.3571428571428571,0.39805825242718446
89,35,4,0.0714285714285714,0.5142857142857142
101,35,4,0.0898876404494382,0.8571428571428571
113,35,4,0.12578616352201255,0.5168539325842697
125,35,4,0.3709677419354839,0.8742138364779874
41,39,4,0.0,0
53,39,4,0.1123595505617978,0.4913494809688581
65,39,4,0.32608695652173914,0.3595505617977528
77,39,4,0.4772727272727273,0.3695652173913043
89,39,4,0.08695652173913049,0.5
101,39,4,0.02352941176470591,0.6521739130434783
113,39,4,0.2962962962962963,0.8470588235294118
125,39,4,0.06382978723404253,0.7037037037037037
53,43,4,0.0,0
65,43,4,0.2727272727272727,0.5833333333333334
77,43,4,0.6190476190476191,0.7121212121212122
89,43,4,0.23728813559322037,0.42857142857142855
101,43,4,0.03125,0.6440677966101694
113,43,4,0.17218543046357615,0.8125
125,43,4,0.4920634920634921,0.8013245033112583

